Symbol,Security Name,Exchange,ETF,Market Category
ABVC,"ABVC BioPharma, Inc. - Common Stock",NASDAQ,N,S
ABVE,Above Food Ingredients Inc. - Common Stock,NASDAQ,N,G
ABVEW,Above Food Ingredients Inc. - Warrant,NASDAQ,N,G
ABVX,Abivax SA - American Depositary Shares,NASDAQ,N,G
ACAD,ACADIA Pharmaceuticals Inc. - Common Stock,NASDAQ,N,Q
ACB,Aurora Cannabis Inc. - Common Shares,NASDAQ,N,S
ACCL,Acco Group Holdings Limited - Ordinary Shares,NASDAQ,N,S
ACDC,ProFrac Holding Corp. - Class A Common Stock,NASDAQ,N,Q
ACET,"Adicet Bio, Inc. - Common Stock",NASDAQ,N,S
ACFN,"Acorn Energy, Inc. - Common Stock",NASDAQ,N,S
ACGL,Arch Capital Group Ltd. - Common Stock,NASDAQ,N,Q
ACGLN,"Arch Capital Group Ltd. - Depositary Shares, each Representing a 1/1,000th Interest in a 4.550% Non-Cumulative Preferred Share, Series G",NASDAQ,N,Q
ACGLO,"Arch Capital Group Ltd. - Depositary Shares Each Representing 1/1,000th Interest in a Share of5.45% Non-Cumulative Preferred Shares, Series F",NASDAQ,N,Q
ACHC,"Acadia Healthcare Company, Inc. - Common Stock",NASDAQ,N,Q
ACHV,"Achieve Life Sciences, Inc.  - Common Shares",NASDAQ,N,S
ACIC,American Coastal Insurance Corporation - Common Stock,NASDAQ,N,S
ACIU,AC Immune SA - Common Stock,NASDAQ,N,G
ACIW,"ACI Worldwide, Inc. - Common Stock",NASDAQ,N,Q
ACLS,"Axcelis Technologies, Inc. - Common Stock",NASDAQ,N,Q
ACLX,"Arcellx, Inc. - Common Stock",NASDAQ,N,Q
ACMR,"ACM Research, Inc. - Class A Common Stock",NASDAQ,N,G
ACNB,ACNB Corporation - Common Stock,NASDAQ,N,S
ACNT,Ascent Industries Co. - Common Stock,NASDAQ,N,G
ACOG,Alpha Cognition Inc. - Common Stock,NASDAQ,N,S
ACON,"Aclarion, Inc. - Common Stock",NASDAQ,N,S
ACONW,"Aclarion, Inc. - Warrant",NASDAQ,N,S
ACRS,"Aclaris Therapeutics, Inc. - Common Stock",NASDAQ,N,Q
ACRV,"Acrivon Therapeutics, Inc. - Common Stock",NASDAQ,N,G
ACT,"Enact Holdings, Inc. - Common Stock",NASDAQ,N,Q
ACTG,Acacia Research Corporation - Common Stock,NASDAQ,N,Q
ACTU,"Actuate Therapeutics, Inc. - Common stock",NASDAQ,N,G
ACXP,"Acurx Pharmaceuticals, Inc. - Common Stock",NASDAQ,N,S
ADAG,"Adagene Inc. - ADS, each representing 1.25 ordinary shares",NASDAQ,N,G
ADAM,"Adamas Trust, Inc. - Common Stock",NASDAQ,N,Q
ADAMG,"Adamas Trust, Inc. - 9.125% Senior Notes Due 2030",NASDAQ,N,Q
ADAMH,"Adamas Trust, Inc. - 9.875% Senior Notes Due 2030",NASDAQ,N,G
ADAMI,"Adamas Trust, Inc. - 9.125% Senior Notes Due 2029",NASDAQ,N,Q
ADAML,"Adamas Trust, Inc. - 6.875% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock, $0.01 par value per share",NASDAQ,N,Q
ADAMM,"Adamas Trust, Inc. - 7.875% Series E Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock",NASDAQ,N,Q
ADAMN,"Adamas Trust, Inc. - 8.00% Series D Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock",NASDAQ,N,Q
ADAMZ,"Adamas Trust, Inc. - 7.000% Series G Cumulative Redeemable Preferred Stock, $0.01 par value per share",NASDAQ,N,Q
ADBE,Adobe Inc. - Common Stock,NASDAQ,N,Q
ADEA,Adeia Inc.  - Common Stock,NASDAQ,N,Q
ADGM,"Adagio Medical Holdings, Inc - Common Stock",NASDAQ,N,S
ADI,"Analog Devices, Inc. - Common Stock",NASDAQ,N,Q
ADIL,"Adial Pharmaceuticals, Inc - Common Stock",NASDAQ,N,S
ADMA,ADMA Biologics Inc - Common Stock,NASDAQ,N,G
ADP,"Automatic Data Processing, Inc. - Common Stock",NASDAQ,N,Q
ADPT,Adaptive Biotechnologies Corporation - Common Stock,NASDAQ,N,Q
ADSE,ADS-TEC ENERGY PLC - Ordinary Shares,NASDAQ,N,S
ADSEW,ADS-TEC ENERGY PLC - Warrant,NASDAQ,N,S
ADSK,"Autodesk, Inc. - Common Stock",NASDAQ,N,Q
ADTN,"ADTRAN Holdings, Inc. - Common Stock",NASDAQ,N,Q
ADTX,"Aditxt, Inc. - Common Stock",NASDAQ,N,S
ADUR,Aduro Clean Technologies Inc. - Common Stock,NASDAQ,N,S
ADUS,Addus HomeCare Corporation - Common Stock,NASDAQ,N,Q
ADV,Advantage Solutions Inc.  - Class A Common Stock,NASDAQ,N,Q
ADVB,Advanced Biomed Inc. - Common Stock,NASDAQ,N,S
ADVM,"Adverum Biotechnologies, Inc. - Common Stock",NASDAQ,N,S
ADXN,Addex Therapeutics Ltd - American Depositary Shares,NASDAQ,N,S
AEBI,Aebi Schmidt Holding AG - Common Stock,NASDAQ,N,Q
AEC,Anfield Energy Inc. - Common Shares,NASDAQ,N,S
AEHL,Antelope Enterprise Holdings Limited - Class A Ordinary Shares,NASDAQ,N,S
AEHR,Aehr Test Systems - Common Stock,NASDAQ,N,S
AEI,Alset Inc. - Common Stock,NASDAQ,N,S
AEIS,"Advanced Energy Industries, Inc. - Common Stock",NASDAQ,N,Q
AEMD,"Aethlon Medical, Inc. - Common Stock",NASDAQ,N,S
AENT,Alliance Entertainment Holding Corporation - common stock,NASDAQ,N,S
AENTW,Alliance Entertainment Holding Corporation - Warrants,NASDAQ,N,S
AEP,"American Electric Power Company, Inc. - Common Stock",NASDAQ,N,Q
AERT,"Aeries Technology, Inc. - Class A Ordinary Share",NASDAQ,N,S
AERTW,"Aeries Technology, Inc. - Warrant",NASDAQ,N,S
AEVA,"Aeva Technologies, Inc. - Common Stock",NASDAQ,N,Q
AEVAW,"Aeva Technologies, Inc. - Redeemable Warrants",NASDAQ,N,Q
AEYE,"AudioEye, Inc. - Common Stock",NASDAQ,N,S
AFBI,"Affinity Bancshares, Inc. - Common Stock",NASDAQ,N,S
AFCG,Advanced Flower Capital Inc. - Common Stock,NASDAQ,N,G
AFJK,"Aimei Health Technology Co., Ltd - Ordinary Share",NASDAQ,N,G
AFJKR,"Aimei Health Technology Co., Ltd - Right",NASDAQ,N,G
AFJKU,"Aimei Health Technology Co., Ltd - Unit",NASDAQ,N,G
AFRI,Forafric Global PLC - Ordinary Shares,NASDAQ,N,S
AFRIW,Forafric Global PLC - Warrants,NASDAQ,N,S
AFRM,"Affirm Holdings, Inc. - Class A Common Stock",NASDAQ,N,Q
AFYA,Afya Limited - Class A Common Shares,NASDAQ,N,Q
AGAE,Allied Gaming & Entertainment Inc. - Common Stock,NASDAQ,N,S
AGCC,Agencia Comercial Spirits Ltd - Class A Ordinary Share,NASDAQ,N,S
AGEN,Agenus Inc. - Common Stock,NASDAQ,N,S
AGH,Aureus Greenway Holdings Inc. - Common Stock,NASDAQ,N,S
AGIO,"Agios Pharmaceuticals, Inc. - Common Stock",NASDAQ,N,Q
AGMH,AGM Group Holdings Inc. - Class A Ordinary Shares,NASDAQ,N,S
AGNC,AGNC Investment Corp. - Common Stock,NASDAQ,N,Q
AGNCL,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.75% Series G Fixed-Rate Reset Cumulative Redeemable Preferred Stock",NASDAQ,N,Q
AGNCM,AGNC Investment Corp. - Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,NASDAQ,N,Q
AGNCN,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock",NASDAQ,N,Q
AGNCO,"AGNC Investment Corp. - Depositary Shares, each representing a 1/1,000th interest in a share of Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock",NASDAQ,N,Q
AGNCP,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock",NASDAQ,N,Q
AGNCZ,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 8.75% Series H Fixed-Rate Cumulative Redeemable Preferred Stock",NASDAQ,N,Q
AGRZ,Agroz Inc. - Ordinary Shares,NASDAQ,N,S
AGYS,"Agilysys, Inc. - Common Stock",NASDAQ,N,Q
AHCO,AdaptHealth Corp.  - Common Stock,NASDAQ,N,S
AHG,Akso Health Group - American Depositary Shares,NASDAQ,N,S
AHMA,Ambitions Enterprise Management Co. L.L.C - Class A Ordinary Shares,NASDAQ,N,S
AIFF,"Firefly Neuroscience, Inc.  - Common Stock",NASDAQ,N,S
AIFU,AIFU Inc. - Class A Ordinary Share,NASDAQ,N,Q
AIHS,Senmiao Technology Limited - Common Stock,NASDAQ,N,S
AIIO,Robo.ai Inc. - Class B Ordinary Shares,NASDAQ,N,S
AIIOW,Robo.ai Inc. - Warrant,NASDAQ,N,S
AIMD,"Ainos, Inc. - Common Stock",NASDAQ,N,S
AIMDW,"Ainos, Inc. - warrants",NASDAQ,N,S
AIOT,"PowerFleet, Inc. - Common Stock",NASDAQ,N,G
AIP,"Arteris, Inc.  - Common Stock",NASDAQ,N,G
AIRE,reAlpha Tech Corp. - Common Stock,NASDAQ,N,S
AIRG,"Airgain, Inc. - Common Stock",NASDAQ,N,S
AIRJ,AirJoule Technologies Corporation - Class A Common Stock,NASDAQ,N,S
AIRJW,AirJoule Technologies Corporation - Warrant,NASDAQ,N,S
AIRO,"AIRO Group Holdings, Inc. - Common Stock",NASDAQ,N,G
AIRS,"AirSculpt Technologies, Inc. - Common Stock",NASDAQ,N,G
AIRT,"Air T, Inc. - Common Stock",NASDAQ,N,S
AIRTP,"Air T, Inc. - Trust Preferred Securities",NASDAQ,N,G
AISP,"Airship AI Holdings, Inc - Class A Common Stock",NASDAQ,N,G
AISPW,"Airship AI Holdings, Inc - Warrants",NASDAQ,N,S
AIXC,"AIxCrypto Holdings, Inc. - Common Stock",NASDAQ,N,S
AIXI,XIAO-I Corporation - American Depositary Shares,NASDAQ,N,G
AKAM,"Akamai Technologies, Inc. - Common Stock",NASDAQ,N,Q
AKAN,Akanda Corp. - Common Shares,NASDAQ,N,S
AKBA,"Akebia Therapeutics, Inc. - Common Stock",NASDAQ,N,S
AKRO,"Akero Therapeutics, Inc. - Common Stock",NASDAQ,N,Q
AKTX,Akari Therapeutics Plc - American Depositary Shares,NASDAQ,N,S
ALAB,"Astera Labs, Inc. - Common Stock",NASDAQ,N,Q
ALAR,Alarum Technologies Ltd. - American Depositary Shares,NASDAQ,N,S
ALBT,Avalon GloboCare Corp. - Common Stock,NASDAQ,N,S
ALCO,"Alico, Inc. - Common Stock",NASDAQ,N,Q
ALCY,Alchemy Investments Acquisition Corp 1 - Class A Ordinary Shares,NASDAQ,N,S
ALCYU,Alchemy Investments Acquisition Corp 1 - Units,NASDAQ,N,S
ALCYW,Alchemy Investments Acquisition Corp 1 - Warrants,NASDAQ,N,S
ALDF,Aldel Financial II Inc. - Class A Ordinary Shares,NASDAQ,N,G
ALDFU,Aldel Financial II Inc. - Units,NASDAQ,N,G
ALDFW,Aldel Financial II Inc. - Warrants,NASDAQ,N,G
ALDX,"Aldeyra Therapeutics, Inc. - Common Stock",NASDAQ,N,S
ALEC,"Alector, Inc. - Common Stock",NASDAQ,N,Q
ALF,Centurion Acquisition Corp. - Class A Ordinary Shares,NASDAQ,N,G
ALFUU,Centurion Acquisition Corp. - Unit,NASDAQ,N,G
ALFUW,Centurion Acquisition Corp. - Warrant,NASDAQ,N,G
ALGM,"Allegro MicroSystems, Inc. - Common Stock",NASDAQ,N,Q
ALGN,"Align Technology, Inc. - Common Stock",NASDAQ,N,Q
ALGS,"Aligos Therapeutics, Inc. - Common stock",NASDAQ,N,S
ALGT,Allegiant Travel Company - Common Stock,NASDAQ,N,Q
ALHC,"Alignment Healthcare, Inc. - Common Stock",NASDAQ,N,Q
ALIS,Calisa Acquisition Corp - Ordinary shares,NASDAQ,N,G
ALISR,Calisa Acquisition Corp - Right,NASDAQ,N,G
ALISU,Calisa Acquisition Corp - Units,NASDAQ,N,G
ALKS,Alkermes plc - Ordinary Shares,NASDAQ,N,Q
ALKT,"Alkami Technology, Inc. - Common Stock",NASDAQ,N,Q
ALLO,"Allogene Therapeutics, Inc. - Common Stock",NASDAQ,N,Q
ALLR,"Allarity Therapeutics, Inc. - Common stock",NASDAQ,N,S
ALLT,Allot Ltd. - Ordinary Shares,NASDAQ,N,Q
ALM,Almonty Industries Inc. - Common Shares,NASDAQ,N,S
ALMS,Alumis Inc. - Common Stock,NASDAQ,N,Q
ALMU,"Aeluma, Inc. - Common Stock",NASDAQ,N,S
ALNT,Allient Inc. - Common Stock,NASDAQ,N,G
ALNY,"Alnylam Pharmaceuticals, Inc. - Common Stock",NASDAQ,N,Q
ALOT,"AstroNova, Inc. - Common Stock",NASDAQ,N,G
ALPS,ALPS Group Inc - Ordinary Share,NASDAQ,N,G
ALRM,"Alarm.com Holdings, Inc. - Common Stock",NASDAQ,N,Q
ALRS,Alerus Financial Corporation - Common Stock,NASDAQ,N,S
ALT,"Altimmune, Inc. - Common Stock",NASDAQ,N,G
ALTI,"AlTi Global, Inc. - Class A Common Stock",NASDAQ,N,S
ALTO,"Alto Ingredients, Inc. - Common Stock",NASDAQ,N,S
ALTS,ALT5 Sigma Corporation - Common Stock,NASDAQ,N,S
ALVO,Alvotech - Ordinary Shares,NASDAQ,N,G
ALVOW,Alvotech - Warrant,NASDAQ,N,G
ALXO,ALX Oncology Holdings Inc. - Common Stock,NASDAQ,N,Q
ALZN,"Alzamend Neuro, Inc. - Common Stock",NASDAQ,N,S
AMAL,Amalgamated Financial Corp. - Common Stock,NASDAQ,N,G
AMAT,"Applied Materials, Inc. - Common Stock",NASDAQ,N,Q
AMBA,"Ambarella, Inc. - Ordinary Shares",NASDAQ,N,Q
AMBR,Amber International Holding Limited - American Depositary Shares,NASDAQ,N,G
AMCX,AMC Networks Inc. - Class A Common Stock,NASDAQ,N,Q
AMD,"Advanced Micro Devices, Inc. - Common Stock",NASDAQ,N,Q
AMGN,Amgen Inc. - Common Stock,NASDAQ,N,Q
AMIX,"Autonomix Medical, Inc. - Common Stock",NASDAQ,N,S
AMKR,"Amkor Technology, Inc. - Common Stock",NASDAQ,N,Q
AMLX,"Amylyx Pharmaceuticals, Inc. - Common Stock",NASDAQ,N,Q
AMOD,"Alpha Modus Holdings, Inc. - Class A Common Stock",NASDAQ,N,S
AMODW,"Alpha Modus Holdings, Inc. - Warrant",NASDAQ,N,S
AMPG,"Amplitech Group, Inc. - Common Stock",NASDAQ,N,S
AMPGW,"Amplitech Group, Inc. - Warrants",NASDAQ,N,S
AMPH,"Amphastar Pharmaceuticals, Inc. - Common Stock",NASDAQ,N,Q
AMPL,"Amplitude, Inc. - Class A Common Stock",NASDAQ,N,S
AMRK,"A-Mark Precious Metals, Inc. - Common Stock",NASDAQ,N,Q
AMRN,Amarin Corporation plc - American Depositary Shares,NASDAQ,N,S
AMRX,"Amneal Pharmaceuticals, Inc. - Class A Common Stock",NASDAQ,N,Q
AMSC,American Superconductor Corporation - Common Stock,NASDAQ,N,Q
AMSF,"AMERISAFE, Inc. - Common Stock",NASDAQ,N,Q
AMST,Amesite Inc. - Common Stock,NASDAQ,N,S
AMTX,"Aemetis, Inc - Common Stock",NASDAQ,N,G
AMWD,American Woodmark Corporation - Common Stock,NASDAQ,N,Q
AMZN,"Amazon.com, Inc. - Common Stock",NASDAQ,N,Q
ANAB,"AnaptysBio, Inc. - Common Stock",NASDAQ,N,Q
ANDE,"The Andersons, Inc. - Common Stock",NASDAQ,N,Q
ANEB,"Anebulo Pharmaceuticals, Inc. - Common Stock",NASDAQ,N,S
ANGH,Anghami Inc. - Ordinary Shares,NASDAQ,N,S
ANGHW,Anghami Inc. - Warrants,NASDAQ,N,S
ANGI,Angi Inc. - Class A Common Stock,NASDAQ,N,Q
ANGO,"AngioDynamics, Inc. - Common Stock",NASDAQ,N,Q
ANIK,Anika Therapeutics Inc. - Common Stock,NASDAQ,N,Q
ANIP,"ANI Pharmaceuticals, Inc. - Common Stock",NASDAQ,N,G
ANIX,"Anixa Biosciences, Inc. - Common Stock",NASDAQ,N,S
ANL,Adlai Nortye Ltd. - American Depositary Shares,NASDAQ,N,G
ANNA,"AleAnna, Inc. - Class A Common Stock",NASDAQ,N,S
ANNAW,"AleAnna, Inc. - Warrant",NASDAQ,N,S
ANNX,"Annexon, Inc. - common stock",NASDAQ,N,Q
ANPA,Rich Sparkle Holdings Limited - Ordinary Shares,NASDAQ,N,S
ANSC,Agriculture & Natural Solutions Acquisition Corporation - Class A Ordinary Shares,NASDAQ,N,G
ANSCU,Agriculture & Natural Solutions Acquisition Corporation - Unit,NASDAQ,N,G
ANSCW,Agriculture & Natural Solutions Acquisition Corporation - Warrant,NASDAQ,N,G
ANTA,Antalpha Platform Holding Company - Class A Ordinary Shares,NASDAQ,N,G
ANTX,"AN2 Therapeutics, Inc. - Common Stock",NASDAQ,N,Q
ANY,Sphere 3D Corp. - Common Shares,NASDAQ,N,S
AOSL,Alpha and Omega Semiconductor Limited - Common Shares,NASDAQ,N,Q
AOUT,"American Outdoor Brands, Inc. - Common Stock",NASDAQ,N,Q
APA,APA Corporation - Common Stock,NASDAQ,N,Q
APAC,StoneBridge Acquisition II Corporation - Class A Ordinary Shares,NASDAQ,N,S
APACR,StoneBridge Acquisition II Corporation - Rights,NASDAQ,N,S
APACU,StoneBridge Acquisition II Corporation - Units,NASDAQ,N,S
APAD,A Paradise Acquisition Corp. - Class A Ordinary Shares,NASDAQ,N,G
APADR,A Paradise Acquisition Corp. - Rights,NASDAQ,N,G
APADU,A Paradise Acquisition Corp. - Unit,NASDAQ,N,G
APEI,"American Public Education, Inc. - Common Stock",NASDAQ,N,Q
APGE,"Apogee Therapeutics, Inc. - Common Stock",NASDAQ,N,G
API,"Agora, Inc. - ADS",NASDAQ,N,Q
APLD,Applied Digital Corporation - Common Stock,NASDAQ,N,Q
APLM,Apollomics Inc. - Class A Ordinary Shares,NASDAQ,N,S
APLMW,Apollomics Inc. - Warrant,NASDAQ,N,S
APLS,"Apellis Pharmaceuticals, Inc. - Common Stock",NASDAQ,N,Q
APLT,"Applied Therapeutics, Inc. - Common Stock",NASDAQ,N,S
APM,Aptorum Group Limited - Class A Ordinary Shares,NASDAQ,N,S
APOG,"Apogee Enterprises, Inc. - Common Stock",NASDAQ,N,Q
APP,Applovin Corporation - Class A Common Stock,NASDAQ,N,Q
APPF,"AppFolio, Inc. - Class A Common Stock",NASDAQ,N,G
APPN,Appian Corporation - Class A Common Stock,NASDAQ,N,G
APPS,"Digital Turbine, Inc. - Common Stock",NASDAQ,N,S
APRE,"Aprea Therapeutics, Inc. - Common Stock",NASDAQ,N,S
APVO,Aptevo Therapeutics Inc. - Common Stock,NASDAQ,N,S
APWC,"Asia Pacific Wire & Cable Corporation Limited  - Common shares, Par value .01 per share",NASDAQ,N,S
APXT,Apex Treasury Corporation - Class A Ordinary Share,NASDAQ,N,G
APXTU,Apex Treasury Corporation - Units,NASDAQ,N,G
APXTW,Apex Treasury Corporation - Warrants,NASDAQ,N,G
APYX,Apyx Medical Corporation - Common Stock,NASDAQ,N,Q
AQB,"AquaBounty Technologies, Inc. - Common Stock",NASDAQ,N,S
AQMS,"Aqua Metals, Inc. - Common Stock",NASDAQ,N,S
AQST,"Aquestive Therapeutics, Inc. - Common Stock",NASDAQ,N,G
ARAI,Arrive AI Inc. - Common Stock,NASDAQ,N,G
ARAY,Accuray Incorporated - Common Stock,NASDAQ,N,Q
ARBB,ARB IOT Group Limited - Ordinary Shares,NASDAQ,N,S
ARBE,Arbe Robotics Ltd. - Ordinary Shares,NASDAQ,N,S
ARBEW,Arbe Robotics Ltd. - Warrant,NASDAQ,N,S
ARBK,Argo Blockchain plc - American Depositary Shares,NASDAQ,N,Q
ARBKL,Argo Blockchain plc - 8.75% Senior Notes due 2026,NASDAQ,N,G
ARCB,ArcBest Corporation - Common Stock,NASDAQ,N,Q
ARCC,Ares Capital Corporation - Closed End Fund,NASDAQ,N,Q
ARCT,Arcturus Therapeutics Holdings Inc. - Common Stock,NASDAQ,N,G
ARDX,"Ardelyx, Inc. - Common Stock",NASDAQ,N,G
AREB,"American Rebel Holdings, Inc. - Common Stock",NASDAQ,N,S
AREBW,"American Rebel Holdings, Inc. - warrants",NASDAQ,N,S
AREC,American Resources Corporation - Class A Common Stock,NASDAQ,N,S
ARGX,argenx SE - American Depositary Shares,NASDAQ,N,Q
ARHS,"Arhaus, Inc. - Class A Common Stock",NASDAQ,N,Q
ARKO,ARKO Corp. - Common Stock,NASDAQ,N,S
ARKOW,ARKO Corp. - Warrant,NASDAQ,N,S
ARKR,Ark Restaurants Corp. - Common Stock,NASDAQ,N,G
ARLP,"Alliance Resource Partners, L.P. - Common Units Representing Limited Partnership Interests",NASDAQ,N,Q
ARM,Arm Holdings plc - American Depositary Shares,NASDAQ,N,Q
AROW,Arrow Financial Corporation - Common Stock,NASDAQ,N,Q
ARQ,"Arq, Inc. - Common Stock",NASDAQ,N,G
ARQQ,Arqit Quantum Inc. - Ordinary Shares,NASDAQ,N,S
ARQQW,Arqit Quantum Inc. - Warrants,NASDAQ,N,S
ARQT,"Arcutis Biotherapeutics, Inc. - Common stock",NASDAQ,N,Q
ARRY,"Array Technologies, Inc. - Common Stock",NASDAQ,N,G
ARTL,"Artelo Biosciences, Inc. - Common Stock",NASDAQ,N,S
ARTNA,Artesian Resources Corporation - Class A Non-Voting Common Stock,NASDAQ,N,Q
ARTV,"Artiva Biotherapeutics, Inc. - Common Stock",NASDAQ,N,G
ARTW,"Art's-Way Manufacturing Co., Inc. - Common Stock",NASDAQ,N,S
ARVN,"Arvinas, Inc. - Common Stock",NASDAQ,N,Q
ARWR,"Arrowhead Pharmaceuticals, Inc. - Common Stock",NASDAQ,N,Q
ASBP,"Aspire Biopharma Holdings, Inc.  - Common Stock",NASDAQ,N,G
ASBPW,"Aspire Biopharma Holdings, Inc.  - Warrant",NASDAQ,N,S
ASLE,AerSale Corporation - Common Stock,NASDAQ,N,S
ASMB,"Assembly Biosciences, Inc. - Common Stock",NASDAQ,N,Q
ASML,ASML Holding N.V. - New York Registry Shares,NASDAQ,N,Q
ASND,Ascendis Pharma A/S - American Depositary Shares,NASDAQ,N,Q
ASNS,"Actelis Networks, Inc. - Common Stock",NASDAQ,N,S
ASO,"Academy Sports and Outdoors, Inc. - Common Stock",NASDAQ,N,Q
ASPC,A SPAC III Acquisition Corp. - Class A Ordinary Shares,NASDAQ,N,S
ASPCR,A SPAC III Acquisition Corp. - Right,NASDAQ,N,S
ASPCU,A SPAC III Acquisition Corp. - Unit,NASDAQ,N,S
ASPI,ASP Isotopes Inc. - Common Stock,NASDAQ,N,S
ASPS,Altisource Portfolio Solutions S.A. - Common Stock,NASDAQ,N,Q
ASPSW,Altisource Portfolio Solutions S.A. - Net Settle Stakeholder Warrants,NASDAQ,N,Q
ASPSZ,Altisource Portfolio Solutions S.A. - Cash Exercise Stakeholder Warrants,NASDAQ,N,Q
ASRT,"Assertio Holdings, Inc. - Common Stock",NASDAQ,N,S
ASRV,AmeriServ Financial Inc. - Common Stock,NASDAQ,N,G
ASST,"Strive, Inc. - Class A Common Stock",NASDAQ,N,G
ASTC,Astrotech Corporation - Common Stock,NASDAQ,N,S
ASTE,"Astec Industries, Inc. - Common Stock",NASDAQ,N,Q
ASTH,Astrana Health Inc. - Common Stock,NASDAQ,N,S
ASTI,"Ascent Solar Technologies, Inc - Common Stock",NASDAQ,N,S
ASTL,Algoma Steel Group Inc. - Common Shares,NASDAQ,N,G
ASTLW,Algoma Steel Group Inc. - Warrant,NASDAQ,N,G
ASTS,"AST SpaceMobile, Inc. - Class A Common Stock",NASDAQ,N,Q
ASUR,Asure Software Inc - Common Stock,NASDAQ,N,S
ASYS,"Amtech Systems, Inc. - Common Stock",NASDAQ,N,Q
ATAI,Atai Beckley N.V - Common Shares,NASDAQ,N,G
ATAT,Atour Lifestyle Holdings Limited - American Depositary Shares,NASDAQ,N,Q
ATEC,"Alphatec Holdings, Inc. - Common Stock",NASDAQ,N,Q
ATER,"Aterian, Inc. - Common Stock",NASDAQ,N,S
ATEX,Anterix Inc. - Common Stock,NASDAQ,N,S
ATGL,Alpha Technology Group Limited - Class A Ordinary Shares,NASDAQ,N,S
ATHA,"Athira Pharma, Inc. - Common Stock",NASDAQ,N,S
ATHE,Alterity Therapeutics Limited - American Depositary Shares,NASDAQ,N,S
ATHR,"Aether Holdings, Inc. - Common Stock",NASDAQ,N,S
ATII,Archimedes Tech SPAC Partners II Co. - Ordinary Shares,NASDAQ,N,G
ATIIU,Archimedes Tech SPAC Partners II Co. - Unit,NASDAQ,N,G
ATIIW,Archimedes Tech SPAC Partners II Co. - Warrant,NASDAQ,N,G
ATLC,Atlanticus Holdings Corporation - Common Stock,NASDAQ,N,Q
ATLCL,Atlanticus Holdings Corporation - 6.125% Senior Notes due 2026,NASDAQ,N,G
ATLCP,"Atlanticus Holdings Corporation - 7.625% Series B Cumulative Perpetual Preferred Stock, no par value per share",NASDAQ,N,Q
ATLCZ,Atlanticus Holdings Corporation - 9.25% Senior Notes due 2029,NASDAQ,N,G
ATLN,Atlantic International Corp. - Common Stock,NASDAQ,N,G
ATLO,Ames National Corporation - Common Stock,NASDAQ,N,S
ATLX,Atlas Lithium Corporation - Common Stock,NASDAQ,N,S
ATMC,AlphaTime Acquisition Corp - Ordinary Shares,NASDAQ,N,S
